"中文","繁體中文（香港）","繁體中文（台灣）","English","Bahasa Indonesia","Bahasa Melayu","Español","한국어","Italiano","日本語","Português","Русский","ภาษาไทย","Tiếng Việt","العربية","Türkçe","Deutsch","Français"
"滑轨、云台电机或稳定器已充电","滑軌、雲台電機或穩定器已充電","滑軌、雲台馬達或穩定器已充電","Slider, gimbal motor, or stabilizer charged","Slider, motor gimbal, atau stabilizer terisi daya","Slider, motor gimbal atau penstabil dicas","Slider, motor de gimbal o estabilizador cargado","슬라이더, 짐벌 모터 또는 안정기 충전 완료","Slider, motore gimbal o stabilizzatore carichi","スライダー、ジンバルモーター、スタビライザー充電済み","Slider, motor do gimbal ou estabilizador carregados","Слайдер, мотор подвеса или стабилизатор заряжены","ชาร์จสไลเดอร์ มอเตอร์กิมบอล หรือกันสั่นแล้ว","Đã sạc slider, mô-tơ gimbal hoặc bộ chống rung","تم شحن السلايدر أو محرك الجيمبال أو المثبت","Slider, gimbal motoru veya stabilizer şarjlı","Slider, Gimbal-Motor oder Stabilisator geladen","Slider, moteur de gimbal ou stabilisateur chargés"
"运动控制轨迹、速度和方向已预设","運動控制軌跡、速度和方向已預設","運動控制軌跡、速度和方向已預設","Motion path, speed, and direction preset","Jalur gerak, kecepatan, dan arah sudah diatur","Laluan gerakan, kelajuan dan arah dipratetap","Trayectoria, velocidad y dirección preconfiguradas","모션 경로, 속도, 방향 사전 설정 완료","Percorso, velocità e direzione preimpostati","モーション軌道、速度、方向を設定済み","Trajetória, velocidade e direção predefinidas","Траектория, скорость и направление заданы","ตั้งค่าเส้นทาง ความเร็ว และทิศทางการเคลื่อนที่แล้ว","Đã đặt sẵn quỹ đạo, tốc độ và hướng chuyển động","تم ضبط مسار الحركة والسرعة والاتجاه مسبقا","Hareket yolu, hız ve yön önceden ayarlandı","Bewegungspfad, Geschwindigkeit und Richtung voreingestellt","Trajectoire, vitesse et direction prédéfinies"
"控制器、连接线和遥控器已测试","控制器、連接線和遙控器已測試","控制器、連接線和遙控器已測試","Controller, cables, and remote tested","Kontroler, kabel, dan remote sudah diuji","Pengawal, kabel dan alat kawalan jauh diuji","Controlador, cables y mando probados","컨트롤러, 케이블, 리모컨 테스트 완료","Controller, cavi e telecomando testati","コントローラー、ケーブル、リモコン動作確認済み","Controlador, cabos e controle remoto testados","Контроллер, кабели и пульт проверены","ทดสอบคอนโทรลเลอร์ สาย และรีโมตแล้ว","Đã kiểm tra bộ điều khiển, cáp và điều khiển từ xa","تم اختبار وحدة التحكم والكابلات وجهاز التحكم عن بعد","Kontrolcü, kablolar ve uzaktan kumanda test edildi","Controller, Kabel und Fernbedienung getestet","Contrôleur, câbles et télécommande testés"
"相机电池、手机移动电源和充电线已带齐","相機電池、手機流動電源和充電線已帶齊","相機電池、手機行動電源和充電線已帶齊","Camera batteries, phone power bank, and charging cables packed","Baterai kamera, power bank ponsel, dan kabel pengisi daya dibawa","Bateri kamera, bank kuasa telefon dan kabel pengecas dibawa","Baterías de cámara, batería externa y cables preparados","카메라 배터리, 휴대폰 보조배터리, 충전 케이블 준비 완료","Batterie fotocamera, power bank e cavi di ricarica pronti","カメラバッテリー、モバイルバッテリー、充電ケーブル準備済み","Baterias da câmera, power bank e cabos embalados","Аккумуляторы камеры, пауэрбанк и кабели взяты","เตรียมแบตเตอรี่กล้อง พาวเวอร์แบงก์ และสายชาร์จแล้ว","Đã mang pin máy ảnh, sạc dự phòng và cáp sạc","تم تجهيز بطاريات الكاميرا وبنك الطاقة وكابلات الشحن","Kamera pilleri, telefon güç bankası ve şarj kabloları hazır","Kameraakkus, Powerbank und Ladekabel eingepackt","Batteries caméra, batterie externe et câbles prêts"
"外接供电方案已测试并可持续覆盖拍摄时长","外接供電方案已測試並可持續覆蓋拍攝時長","外接供電方案已測試並可持續支援拍攝時長","External power setup tested and can cover the full shoot","Solusi daya eksternal diuji dan cukup untuk seluruh pemotretan","Penyelesaian kuasa luaran diuji dan mampu meliputi keseluruhan rakaman","Alimentación externa probada y suficiente para toda la captura","외부 전원 구성이 전체 촬영 시간을 지원하도록 테스트됨","Alimentazione esterna testata e sufficiente per tutta la ripresa","外部電源構成はテスト済みで撮影時間全体をカバー可能","Energia externa testada e suficiente para toda a captura","Внешнее питание проверено и покрывает всю съемку","ทดสอบไฟเลี้ยงภายนอกแล้วและครอบคลุมเวลาถ่ายทั้งหมด","Đã kiểm tra nguồn ngoài và đủ cho toàn bộ thời gian chụp","تم اختبار مصدر الطاقة الخارجي ويغطي مدة التصوير كاملة","Harici güç kurulumu test edildi ve tüm çekimi karşılar","Externe Stromversorgung getestet und für die ganze Aufnahme ausreichend","Alimentation externe testée et suffisante pour toute la prise"
"低温或长时间拍摄的保温、防水措施已准备","低溫或長時間拍攝的保溫、防水措施已準備","低溫或長時間拍攝的保溫、防水措施已準備","Insulation and waterproofing ready for cold or long shoots","Isolasi dan perlindungan air siap untuk pemotretan dingin atau lama","Penebat dan kalis air sedia untuk rakaman sejuk atau lama","Aislamiento e impermeabilización listos para frío o tomas largas","저온 또는 장시간 촬영용 보온, 방수 대책 준비 완료","Isolamento e impermeabilizzazione pronti per freddo o riprese lunghe","低温または長時間撮影向けの保温・防水対策準備済み","Isolamento e impermeabilização prontos para frio ou capturas longas","Утепление и защита от воды готовы для холода или долгой съемки","เตรียมการกันหนาวและกันน้ำสำหรับอากาศเย็นหรือถ่ายนานแล้ว","Đã chuẩn bị giữ ấm và chống nước cho chụp lạnh hoặc dài","تم تجهيز العزل والحماية من الماء للبرد أو التصوير الطويل","Soğuk veya uzun çekimler için yalıtım ve su koruması hazır","Isolierung und Wasserschutz für Kälte oder lange Aufnahmen bereit","Isolation et protection eau prêtes pour froid ou longues prises"
"存储卡或手机剩余空间足够","儲存卡或手機剩餘空間足夠","記憶卡或手機剩餘空間足夠","Memory card or phone has enough free space","Kartu memori atau ponsel memiliki ruang cukup","Kad memori atau telefon mempunyai ruang mencukupi","Tarjeta de memoria o teléfono con espacio suficiente","메모리 카드 또는 휴대폰 여유 공간 충분","Scheda memoria o telefono con spazio sufficiente","メモリーカードまたはスマホの空き容量十分","Cartão de memória ou celular com espaço suficiente","На карте памяти или телефоне достаточно места","การ์ดหน่วยความจำหรือโทรศัพท์มีพื้นที่เพียงพอ","Thẻ nhớ hoặc điện thoại còn đủ dung lượng","بطاقة الذاكرة أو الهاتف به مساحة كافية","Hafıza kartı veya telefonda yeterli boş alan var","Speicherkarte oder Smartphone hat genug freien Platz","Carte mémoire ou téléphone avec assez d'espace"
"备用存储卡、读卡器或移动硬盘已准备","備用儲存卡、讀卡器或流動硬碟已準備","備用記憶卡、讀卡機或行動硬碟已準備","Backup memory card, card reader, or portable drive ready","Kartu memori cadangan, pembaca kartu, atau hard disk portabel siap","Kad memori sandaran, pembaca kad atau cakera mudah alih sedia","Tarjeta de respaldo, lector o disco portátil listos","예비 메모리 카드, 카드 리더기 또는 외장 드라이브 준비 완료","Scheda di riserva, lettore o disco portatile pronti","予備メモリーカード、カードリーダー、外付けドライブ準備済み","Cartão reserva, leitor ou drive portátil prontos","Резервная карта, кардридер или переносной диск готовы","เตรียมการ์ดสำรอง เครื่องอ่านการ์ด หรือฮาร์ดดิสก์พกพาแล้ว","Đã chuẩn bị thẻ nhớ dự phòng, đầu đọc thẻ hoặc ổ cứng di động","تم تجهيز بطاقة ذاكرة احتياطية أو قارئ بطاقات أو قرص محمول","Yedek hafıza kartı, kart okuyucu veya taşınabilir disk hazır","Ersatzspeicherkarte, Kartenleser oder mobile Festplatte bereit","Carte mémoire de secours, lecteur ou disque portable prêts"
"重要素材已提前备份，存储卡可安全格式化","重要素材已提前備份，儲存卡可安全格式化","重要素材已提前備份，記憶卡可安全格式化","Important footage backed up. Memory card can be safely formatted","Materi penting sudah dicadangkan. Kartu memori aman diformat","Bahan penting disandarkan. Kad memori boleh diformat dengan selamat","Material importante respaldado. La tarjeta puede formatearse","중요 자료 백업 완료. 메모리 카드를 안전하게 포맷 가능","Materiale importante salvato. Scheda formattabile in sicurezza","重要素材はバックアップ済み。メモリーカードを安全に初期化可能","Material importante salvo. Cartão pode ser formatado com segurança","Важные материалы сохранены. Карту можно безопасно форматировать","สำรองไฟล์สำคัญแล้ว สามารถฟอร์แมตการ์ดได้อย่างปลอดภัย","Đã sao lưu tư liệu quan trọng. Có thể định dạng thẻ nhớ an toàn","تم نسخ المواد المهمة احتياطيا ويمكن تهيئة بطاقة الذاكرة بأمان","Önemli görüntüler yedeklendi. Hafıza kartı güvenle biçimlendirilebilir","Wichtige Aufnahmen gesichert. Speicherkarte kann formatiert werden","Images importantes sauvegardées. Carte formatable en sécurité"
"头灯、手电、雨具、防晒或保暖用品已准备","頭燈、電筒、雨具、防曬或保暖用品已準備","頭燈、手電筒、雨具、防曬或保暖用品已準備","Headlamp, flashlight, rain gear, sun protection, or warm gear ready","Headlamp, senter, perlengkapan hujan, tabir surya, atau perlengkapan hangat siap","Lampu kepala, lampu suluh, peralatan hujan, pelindung matahari atau pakaian panas sedia","Frontal, linterna, lluvia, protección solar o abrigo listos","헤드램프, 손전등, 우비, 자외선 차단 또는 보온 용품 준비 완료","Lampada frontale, torcia, pioggia, protezione sole o caldo pronti","ヘッドライト、懐中電灯、雨具、日焼け・防寒用品準備済み","Lanterna de cabeça, lanterna, chuva, proteção solar ou agasalho prontos","Фонарь, дождевик, защита от солнца или тепло готовы","เตรียมไฟคาดหัว ไฟฉาย อุปกรณ์กันฝน กันแดด หรือกันหนาวแล้ว","Đã chuẩn bị đèn đội đầu, đèn pin, áo mưa, chống nắng hoặc giữ ấm","تم تجهيز مصباح الرأس أو المصباح أو معدات المطر أو الوقاية من الشمس أو التدفئة","Kafa lambası, el feneri, yağmurluk, güneş koruması veya sıcak tutan ekipman hazır","Stirnlampe, Taschenlampe, Regen-, Sonnen- oder Wärmeschutz bereit","Lampe frontale, torche, pluie, soleil ou vêtements chauds prêts"
"拍摄点位、天气、日出日落或银河时间已确认","拍攝點位、天氣、日出日落或銀河時間已確認","拍攝點位、天氣、日出日落或銀河時間已確認","Location, weather, sunrise/sunset, or Milky Way time confirmed","Lokasi, cuaca, matahari terbit/terbenam, atau waktu Bima Sakti dikonfirmasi","Lokasi, cuaca, matahari terbit/terbenam atau waktu Bima Sakti disahkan","Ubicación, clima, amanecer/atardecer o Vía Láctea confirmados","촬영 위치, 날씨, 일출/일몰 또는 은하수 시간 확인 완료","Posizione, meteo, alba/tramonto o Via Lattea confermati","撮影場所、天気、日の出/日没、天の川時間確認済み","Local, clima, nascer/pôr do sol ou Via Láctea confirmados","Место, погода, рассвет/закат или Млечный Путь подтверждены","ยืนยันจุดถ่าย สภาพอากาศ เวลาพระอาทิตย์ขึ้น/ตก หรือทางช้างเผือกแล้ว","Đã xác nhận điểm chụp, thời tiết, bình minh/hoàng hôn hoặc thời gian Dải Ngân Hà","تم تأكيد الموقع والطقس والشروق أو الغروب أو وقت درب التبانة","Konum, hava, gün doğumu/batımı veya Samanyolu zamanı onaylandı","Standort, Wetter, Sonnenauf-/untergang oder Milchstraßenzeit bestätigt","Lieu, météo, lever/coucher du soleil ou Voie lactée confirmés"
"必要许可、交通路线和现场安全风险已确认","必要許可、交通路線和現場安全風險已確認","必要許可、交通路線和現場安全風險已確認","Required permits, route, and on-site safety risks confirmed","Izin, rute, dan risiko keselamatan lokasi dikonfirmasi","Permit, laluan dan risiko keselamatan lokasi disahkan","Permisos, ruta y riesgos de seguridad confirmados","필요 허가, 이동 경로, 현장 안전 위험 확인 완료","Permessi, percorso e rischi di sicurezza confermati","必要許可、交通ルート、現場安全リスク確認済み","Permissões, rota e riscos de segurança confirmados","Разрешения, маршрут и риски безопасности подтверждены","ยืนยันใบอนุญาต เส้นทาง และความเสี่ยงความปลอดภัยในพื้นที่แล้ว","Đã xác nhận giấy phép, tuyến đường và rủi ro an toàn tại hiện trường","تم تأكيد التصاريح المطلوبة والطريق ومخاطر السلامة في الموقع","Gerekli izinler, rota ve saha güvenlik riskleri onaylandı","Erforderliche Genehmigungen, Route und Sicherheitsrisiken bestätigt","Autorisations, itinéraire et risques de sécurité confirmés"
"保存失败，请稍后重试","保存失敗，請稍後重試","儲存失敗，請稍後再試","Save failed. Try again later.","Gagal menyimpan. Coba lagi nanti.","Gagal menyimpan. Cuba lagi nanti.","Error al guardar. Inténtalo más tarde.","저장 실패. 나중에 다시 시도하세요.","Salvataggio non riuscito. Riprova più tardi.","保存に失敗しました。後でもう一度お試しください。","Falha ao salvar. Tente novamente mais tarde.","Не удалось сохранить. Повторите позже.","บันทึกไม่สำเร็จ โปรดลองอีกครั้งภายหลัง","Lưu thất bại. Vui lòng thử lại sau.","فشل الحفظ. حاول مرة أخرى لاحقا.","Kaydetme başarısız. Daha sonra tekrar deneyin.","Speichern fehlgeschlagen. Später erneut versuchen.","Échec de l'enregistrement. Réessayez plus tard."
"请先输入检查项","請先輸入檢查項","請先輸入檢查項","Enter a checklist item first","Masukkan item terlebih dahulu","Masukkan item dahulu","Introduce primero un elemento","먼저 체크 항목을 입력하세요","Inserisci prima un elemento","先にチェック項目を入力してください","Insira um item primeiro","Сначала введите пункт","โปรดป้อนรายการตรวจสอบก่อน","Vui lòng nhập mục kiểm tra trước","أدخل عنصر تحقق أولا","Önce bir kontrol öğesi girin","Gib zuerst einen Checklistenpunkt ein","Saisissez d'abord un élément"
"删除检查项","刪除檢查項","刪除檢查項","Delete checklist item","Hapus item daftar periksa","Padam item senarai semak","Eliminar elemento","체크 항목 삭제","Elimina elemento","チェック項目を削除","Excluir item","Удалить пункт","ลบรายการตรวจสอบ","Xóa mục kiểm tra","حذف عنصر التحقق","Kontrol öğesini sil","Checklistenpunkt löschen","Supprimer l'élément"
"确认删除“{item}”？","確認刪除「{item}」？","確認刪除「{item}」？","Delete ""{item}""?","Hapus ""{item}""?","Padam ""{item}""?","¿Eliminar ""{item}""?","""{item}""을 삭제할까요?","Eliminare ""{item}""?","「{item}」を削除しますか？","Excluir ""{item}""?","Удалить ""{item}""?","ลบ ""{item}"" หรือไม่","Xóa ""{item}""?","هل تريد حذف ""{item}""؟","""{item}"" silinsin mi?","""{item}"" löschen?","Supprimer ""{item}"" ?"
"恢复默认清单","恢復預設清單","恢復預設清單","Restore default checklist","Pulihkan daftar default","Pulihkan senarai lalai","Restaurar lista predeterminada","기본 체크리스트 복원","Ripristina lista predefinita","既定のチェックリストに戻す","Restaurar lista padrão","Восстановить чек-лист по умолчанию","คืนค่าเช็กลิสต์เริ่มต้น","Khôi phục danh sách mặc định","استعادة قائمة التحقق الافتراضية","Varsayılan listeyi geri yükle","Standard-Checkliste wiederherstellen","Restaurer la liste par défaut"
"会覆盖当前事件清单和勾选状态，是否继续？","會覆蓋當前事件清單和勾選狀態，是否繼續？","會覆蓋目前事件清單和勾選狀態，是否繼續？","This will overwrite the current event checklist and checked states. Continue?","Ini akan menimpa daftar acara saat ini dan status centang. Lanjutkan?","Ini akan menimpa senarai acara semasa dan status tanda. Teruskan?","Esto sobrescribirá la lista actual y sus estados. ¿Continuar?","현재 이벤트 체크리스트와 체크 상태를 덮어씁니다. 계속할까요?","Sovrascriverà la lista evento corrente e gli stati. Continuare?","現在のイベントチェックリストとチェック状態を上書きします。続行しますか？","Isso substituirá a lista atual e os estados marcados. Continuar?","Это перезапишет текущий чек-лист и отметки. Продолжить?","จะเขียนทับเช็กลิสต์กิจกรรมและสถานะที่เลือกอยู่ ดำเนินการต่อหรือไม่","Thao tác này sẽ ghi đè danh sách sự kiện hiện tại và trạng thái chọn. Tiếp tục?","سيؤدي هذا إلى استبدال قائمة الحدث الحالية وحالات التحديد. متابعة؟","Mevcut etkinlik listesini ve işaretleri üzerine yazar. Devam edilsin mi?","Dies überschreibt die aktuelle Ereignis-Checkliste und Markierungen. Fortfahren?","Cela remplacera la liste actuelle et les états cochés. Continuer ?"
"恢复","恢復","恢復","Restore","Pulihkan","Pulihkan","Restaurar","복원","Ripristina","復元","Restaurar","Восстановить","คืนค่า","Khôi phục","استعادة","Geri yükle","Wiederherstellen","Restaurer"
"删除当前清单","刪除當前清單","刪除目前清單","Delete current checklist","Hapus daftar saat ini","Padam senarai semasa","Eliminar lista actual","현재 체크리스트 삭제","Elimina lista corrente","現在のチェックリストを削除","Excluir lista atual","Удалить текущий чек-лист","ลบเช็กลิสต์ปัจจุบัน","Xóa danh sách hiện tại","حذف القائمة الحالية","Mevcut listeyi sil","Aktuelle Checkliste löschen","Supprimer la liste actuelle"
"会删除本地保存的事件名称、日期和勾选状态，并恢复默认清单，是否继续？","會刪除本地保存的事件名稱、日期和勾選狀態，並恢復預設清單，是否繼續？","會刪除本機儲存的事件名稱、日期和勾選狀態，並恢復預設清單，是否繼續？","This will delete the locally saved event name, date, and checked states, then restore the default checklist. Continue?","Ini akan menghapus nama acara, tanggal, dan status centang lokal, lalu memulihkan daftar default. Lanjutkan?","Ini akan memadam nama acara, tarikh dan status tanda setempat, kemudian memulihkan senarai lalai. Teruskan?","Esto eliminará el nombre, la fecha y los estados locales, y restaurará la lista predeterminada. ¿Continuar?","로컬에 저장된 이벤트 이름, 날짜, 체크 상태를 삭제하고 기본 체크리스트를 복원합니다. 계속할까요?","Eliminerà nome evento, data e stati locali, poi ripristinerà la lista predefinita. Continuare?","ローカル保存されたイベント名、日付、チェック状態を削除し、既定のチェックリストに戻します。続行しますか？","Isso excluirá nome, data e estados locais e restaurará a lista padrão. Continuar?","Будут удалены локальные название, дата и отметки, затем восстановлен чек-лист по умолчанию. Продолжить?","จะลบชื่อกิจกรรม วันที่ และสถานะที่บันทึกในเครื่อง แล้วคืนค่าเช็กลิสต์เริ่มต้น ดำเนินการต่อหรือไม่","Thao tác này sẽ xóa tên sự kiện, ngày và trạng thái chọn đã lưu cục bộ, rồi khôi phục danh sách mặc định. Tiếp tục?","سيتم حذف اسم الحدث والتاريخ وحالات التحديد المحفوظة محليا ثم استعادة القائمة الافتراضية. متابعة؟","Yerel etkinlik adı, tarih ve işaretler silinir, ardından varsayılan liste geri yüklenir. Devam edilsin mi?","Lokal gespeicherter Ereignisname, Datum und Markierungen werden gelöscht und die Standardliste wiederhergestellt. Fortfahren?","Cela supprimera le nom, la date et les états locaux, puis restaurera la liste par défaut. Continuer ?"
"快速开始","快速開始","快速開始","Quick start","Mulai cepat","Mula pantas","Inicio rápido","빠른 시작","Avvio rapido","クイックスタート","Início rápido","Быстрый старт","เริ่มต้นด่วน","Bắt đầu nhanh","بدء سريع","Hızlı başlangıç","Schnellstart","Démarrage rapide"
"点击首页上方的场景图标，可直接生成常用拍摄方案。","點擊首頁上方的場景圖示，可直接生成常用拍攝方案。","點擊首頁上方的場景圖示，可直接產生常用拍攝方案。","Tap a scene icon at the top of the home page to generate a common shooting plan.","Ketuk ikon adegan di atas beranda untuk membuat rencana pemotretan umum.","Ketik ikon suasana di atas halaman utama untuk menjana pelan rakaman biasa.","Toca un icono de escena arriba para generar un plan habitual.","홈 상단의 장면 아이콘을 눌러 자주 쓰는 촬영 계획을 생성하세요.","Tocca un'icona scena in alto per generare un piano comune.","ホーム上部のシーンアイコンをタップすると一般的な撮影プランを生成できます。","Toque em um ícone de cena no topo para gerar um plano comum.","Нажмите значок сцены сверху, чтобы создать типовой план.","แตะไอคอนฉากด้านบนหน้าแรกเพื่อสร้างแผนถ่ายทั่วไป","Nhấn biểu tượng cảnh ở đầu trang chính để tạo phương án chụp thường dùng.","اضغط على أيقونة المشهد أعلى الصفحة الرئيسية لإنشاء خطة تصوير شائعة.","Ana sayfanın üstündeki sahne simgesine dokunarak yaygın bir çekim planı oluşturun.","Tippe oben auf der Startseite auf ein Szenensymbol, um einen üblichen Plan zu erstellen.","Touchez une icône de scène en haut de l'accueil pour générer un plan courant."
"也可以手动输入 2-3 个已知参数，留空需要自动计算的项目。","也可以手動輸入 2-3 個已知參數，留空需要自動計算的項目。","也可以手動輸入 2-3 個已知參數，留空需要自動計算的項目。","You can also manually enter 2-3 known parameters and leave fields blank for automatic calculation.","Anda juga dapat memasukkan 2-3 parameter yang diketahui dan mengosongkan bidang untuk dihitung otomatis.","Anda juga boleh memasukkan 2-3 parameter diketahui dan biarkan medan kosong untuk kiraan automatik.","También puedes introducir 2-3 parámetros conocidos y dejar en blanco los que se calculan.","알려진 매개변수 2-3개를 직접 입력하고 자동 계산할 항목은 비워둘 수 있습니다.","Puoi anche inserire 2-3 parametri noti e lasciare vuoti quelli da calcolare.","既知のパラメータを2-3個手入力し、自動計算したい項目は空欄にできます。","Você também pode inserir 2-3 parâmetros conhecidos e deixar campos em branco.","Также можно ввести 2-3 известных параметра и оставить пустыми поля для расчета.","คุณยังสามารถป้อนพารามิเตอร์ที่ทราบ 2-3 ค่า และเว้นช่องที่ต้องการให้คำนวณอัตโนมัติ","Bạn cũng có thể nhập thủ công 2-3 tham số đã biết và để trống mục cần tự động tính.","يمكنك أيضا إدخال معلمتين أو ثلاث معلمات معروفة وترك الحقول التي تريد حسابها فارغة.","Bilinen 2-3 parametreyi elle girip otomatik hesaplanacak alanları boş bırakabilirsiniz.","Du kannst auch 2-3 bekannte Parameter eingeben und Felder für die Berechnung leer lassen.","Vous pouvez aussi saisir 2-3 paramètres connus et laisser vides ceux à calculer."
"点击“计算”后，系统会补齐剩余参数，并标记“自动”字段。","點擊「計算」後，系統會補齊剩餘參數，並標記「自動」欄位。","點擊「計算」後，系統會補齊剩餘參數，並標記「自動」欄位。","After tapping Calculate, the system fills in remaining parameters and marks Auto fields.","Setelah mengetuk Hitung, sistem mengisi parameter lain dan menandai bidang Otomatis.","Selepas mengetik Kira, sistem melengkapkan parameter lain dan menanda medan Automatik.","Tras tocar Calcular, el sistema completa parámetros restantes y marca Automático.","계산을 누르면 남은 매개변수를 채우고 자동 필드를 표시합니다.","Dopo Calcola, il sistema completa i parametri e marca i campi Automatico.","計算をタップすると残りのパラメータを補完し、自動フィールドを表示します。","Após tocar Calcular, o sistema preenche os parâmetros restantes e marca campos Automáticos.","После нажатия Рассчитать система заполнит остальные параметры и отметит авто поля.","หลังแตะคำนวณ ระบบจะเติมพารามิเตอร์ที่เหลือและทำเครื่องหมายช่องอัตโนมัติ","Sau khi nhấn Tính, hệ thống điền các tham số còn lại và đánh dấu trường Tự động.","بعد الضغط على احسب، يكمل النظام المعلمات المتبقية ويضع علامة تلقائي.","Hesapla'ya dokununca sistem kalan parametreleri doldurur ve Otomatik alanları işaretler.","Nach Berechnen ergänzt das System die übrigen Parameter und markiert automatische Felder.","Après Calculer, le système complète les paramètres restants et marque les champs Auto."
"两种计算方式","兩種計算方式","兩種計算方式","Two calculation methods","Dua metode perhitungan","Dua kaedah pengiraan","Dos métodos de cálculo","두 가지 계산 방식","Due metodi di calcolo","2つの計算方法","Dois métodos de cálculo","Два способа расчета","วิธีคำนวณสองแบบ","Hai cách tính","طريقتان للحساب","İki hesaplama yöntemi","Zwei Berechnungsmethoden","Deux méthodes de calcul"
"场景预设","場景預設","場景預設","Scene presets","Preset adegan","Pratetap suasana","Preajustes de escena","장면 프리셋","Preset scena","シーンプリセット","Predefinições de cena","Пресеты сцен","พรีเซ็ตฉาก","Mẫu cảnh","إعدادات المشهد المسبقة","Sahne ön ayarları","Szenenvorlagen","Préréglages de scène"
"手动计算","手動計算","手動計算","Manual calculation","Perhitungan manual","Pengiraan manual","Cálculo manual","수동 계산","Calcolo manuale","手動計算","Cálculo manual","Ручной расчет","คำนวณเอง","Tính thủ công","حساب يدوي","Manuel hesaplama","Manuelle Berechnung","Calcul manuel"
"参数说明","參數說明","參數說明","Parameter guide","Panduan parameter","Panduan parameter","Guía de parámetros","매개변수 안내","Guida parametri","パラメータ説明","Guia de parâmetros","Описание параметров","คำอธิบายพารามิเตอร์","Giải thích tham số","دليل المعلمات","Parametre rehberi","Parameterübersicht","Guide des paramètres"
"相机或手机实际持续拍摄的时间，单位为分钟。","相機或手機實際持續拍攝的時間，單位為分鐘。","相機或手機實際持續拍攝的時間，單位為分鐘。","The actual time the camera or phone keeps shooting, in minutes.","Waktu kamera atau ponsel benar-benar memotret, dalam menit.","Masa sebenar kamera atau telefon merakam, dalam minit.","Tiempo real que la cámara o teléfono captura, en minutos.","카메라 또는 휴대폰이 실제로 촬영하는 시간, 단위는 분입니다.","Tempo effettivo di ripresa di fotocamera o telefono, in minuti.","カメラまたはスマホが実際に撮影し続ける時間。単位は分。","Tempo real de captura da câmera ou celular, em minutos.","Фактическое время съемки камеры или телефона, в минутах.","เวลาที่กล้องหรือโทรศัพท์ถ่ายจริง หน่วยเป็นนาที","Thời gian máy ảnh hoặc điện thoại chụp thực tế, tính bằng phút.","الوقت الفعلي الذي تستمر فيه الكاميرا أو الهاتف في التصوير، بالدقائق.","Kamera veya telefonun gerçekten çekim yaptığı süre, dakika cinsinden.","Tatsächliche Aufnahmezeit von Kamera oder Smartphone in Minuten.","Temps réel pendant lequel l'appareil ou le téléphone filme, en minutes."
"最终视频播放出来的长度，单位为秒。","最終影片播放出來的長度，單位為秒。","最終影片播放出來的長度，單位為秒。","The playback length of the final video, in seconds.","Panjang pemutaran video akhir, dalam detik.","Panjang main balik video akhir, dalam saat.","Duración de reproducción del video final, en segundos.","완성 영상의 재생 길이, 단위는 초입니다.","Durata di riproduzione del video finale, in secondi.","完成動画の再生時間。単位は秒。","Duração de reprodução do vídeo final, em segundos.","Длительность воспроизведения готового видео, в секундах.","ความยาวการเล่นของวิดีโอสุดท้าย หน่วยเป็นวินาที","Độ dài phát của video hoàn chỉnh, tính bằng giây.","مدة تشغيل الفيديو النهائي، بالثواني.","Son videonun oynatma uzunluğu, saniye cinsinden.","Wiedergabelänge des fertigen Videos in Sekunden.","Durée de lecture de la vidéo finale, en secondes."
"视频每秒播放的画面数量，常用 24、25、30、60 fps。","影片每秒播放的畫面數量，常用 24、25、30、60 fps。","影片每秒播放的畫面數量，常用 24、25、30、60 fps。","Frames shown per second. Common values: 24, 25, 30, 60 fps.","Jumlah bingkai per detik. Umum: 24, 25, 30, 60 fps.","Bilangan bingkai sesaat. Biasa: 24, 25, 30, 60 fps.","Fotogramas por segundo. Valores comunes: 24, 25, 30, 60 fps.","초당 표시되는 프레임 수입니다. 일반값: 24, 25, 30, 60 fps.","Fotogrammi al secondo. Valori comuni: 24, 25, 30, 60 fps.","1秒あたりに表示されるフレーム数。一般的には24、25、30、60 fps。","Quadros por segundo. Valores comuns: 24, 25, 30, 60 fps.","Кадров в секунду. Часто: 24, 25, 30, 60 fps.","จำนวนเฟรมที่เล่นต่อวินาที ค่าทั่วไป 24, 25, 30, 60 fps","Số khung hình mỗi giây. Thường dùng: 24, 25, 30, 60 fps.","عدد الإطارات المعروضة في الثانية. الشائع: 24 و25 و30 و60 fps.","Saniyedeki kare sayısı. Yaygın: 24, 25, 30, 60 fps.","Bilder pro Sekunde. Üblich: 24, 25, 30, 60 fps.","Images par seconde. Valeurs courantes : 24, 25, 30, 60 fps."
"每两张照片之间的时间间隔，单位为秒。","每兩張相片之間的時間間隔，單位為秒。","每兩張照片之間的時間間隔，單位為秒。","Time between two photos, in seconds.","Waktu antara dua foto, dalam detik.","Masa antara dua foto, dalam saat.","Tiempo entre dos fotos, en segundos.","사진 두 장 사이의 시간 간격, 단위는 초입니다.","Tempo tra due foto, in secondi.","2枚の写真の間隔。単位は秒。","Tempo entre duas fotos, em segundos.","Время между двумя снимками, в секундах.","ช่วงเวลาระหว่างภาพสองภาพ หน่วยเป็นวินาที","Khoảng thời gian giữa hai ảnh, tính bằng giây.","الوقت بين صورتين، بالثواني.","İki fotoğraf arasındaki süre, saniye cinsinden.","Zeit zwischen zwei Fotos in Sekunden.","Temps entre deux photos, en secondes."
